"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"Query"
"NoError, EmulTrap, ClearMem";"1818836";"S\SpaceGun\SpaceGun.Slave";"Space Gun ? 1991 Ocean.";"0";"SpaceGun";"Space Gun";"1991 Ocean";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceGun";"OCS/ECS";"";"";"";"";"space gun english"
"NoError, ClearMem";"508777";"S\SpaceHarrier\SpaceHarrier.Slave";"Space Harrier ? 1989 Elite";"0";"SpaceHarrier";"Space Harrier";"1989 Elite";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceHarrier";"OCS/ECS";"";"";"";"";"space harrier english"
"NoError, ClearMem";"1278644";"S\SpaceHarrier&RetrnFntZone\SpaceHarrier.slave";"Space Harrier ? 1989 Elite";"0";"SpaceHarrier&RetrnFntZone";"Space Harrier";"1989 Elite";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceHarrier&RetrnFntZone";"OCS/ECS";"";"";"";"";"space harrier retrn fnt zone english"
"NoError, ClearMem";"1253408";"S\SpaceHarrier&RFantasyZone\SpaceHarrier&RFantasyZone.Slave";"Space Harrier ? 1989 Elite";"0";"SpaceHarrier&RFantasyZone";"Space Harrier";"1989 Elite";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceHarrier&RFantasyZone";"OCS/ECS";"";"";"";"";"space harrier rfantasy zone english"
"Disk, NoError, EmulTrap";"913440";"S\SpaceHarrier2\SpaceHarrier2.Slave";"Space Harrier 2 ? 1990 Sega.";"0";"SpaceHarrier2";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceHarrier2";"OCS/ECS";"";"";"";"";"space harrier 2 english"
"NoError, EmulPriv";"2407312";"S\SpaceHulk\SpaceHulk.Slave";"Space Hulk ? 1993 Electronic Arts";"0";"SpaceHulk";"--> Space Hulk <--";"1993 Electronic Arts";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceHulk";"OCS/ECS";"";"";"";"";"space hulk english"
"NoError, EmulTrap";"915388";"S\SpacePilot89\SpacePilot89.Slave";"Space Pilot 89 ? 1989 KingSoft.";"0";"SpacePilot89";"Space Pilot 89";"1989 King Soft ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpacePilot89";"OCS/ECS";"";"";"";"";"space pilot 89 english"
"NoError, EmulTrap, EmulPriv, Examine";"1573837";"S\SpaceQuest\SpaceQuest.slave";"Space Quest ? 1987 Sierra.";"0";"SpaceQuest";"Space Quest";"1987 Sierra";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceQuest";"OCS/ECS";"";"";"";"";"space quest english"
"NoError, EmulPriv, Examine";"849700";"S\SpaceQuest2\SpaceQuest2.slave";"Space Quest 2 ? 1988 Sierra.";"0";"SpaceQuest2";"Space Quest 2";"1988 Sierra";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceQuest2";"OCS/ECS";"";"";"";"";"space quest 2 english"
"NoError, EmulPriv, Examine";"2863300";"S\SpaceQuest3\SpaceQuest3.slave";"Space Quest III - The Pirates of Pestulon ? 1989 Sierra.";"0";"SpaceQuest3";"Space Quest III - The Pirates of Pestulon";"1989 Sierra";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceQuest3";"OCS/ECS";"";"";"";"";"space quest 3 the pirates of pestulon english"
"NoError, EmulPriv, Examine";"5576528";"S\SpaceQuest4\SpaceQuest4.slave";"Space Quest IV ? 1991 Sierra.";"0";"SpaceQuest4";"Space Quest IV";"1991 Sierra";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceQuest4";"OCS/ECS";"";"";"";"";"space quest 4 english"
"NoError, EmulPriv, Examine";"4867907";"S\SpaceQuestEnhanced\SpaceQuestEnhanced.slave";"Space Quest I (Enhanced) ? 1991 Sierra.";"0";"SpaceQuestEnhanced";"Space Quest I (Enhanced)";"1991 Sierra";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceQuestEnhanced";"OCS/ECS";"";"";"";"";"space quest the sarien encounter 981"
"NoError, EmulPriv, Examine";"910904";"S\SpaceRacer\SpaceRacer.Slave";"Space Racer ? 1988 Loriciels.";"0";"SpaceRacer";"Space Racer";"1988 Loriciels";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceRacer";"OCS/ECS";"";"";"";"";"space racer english"
"NoError, EmulTrap, EmulPriv";"666812";"S\SpaceRangerArcadia\SpaceRangerArcadia.Slave";"Arcadia Systems version of Space Ranger game";"0";"SpaceRangerArcadia";"Space Ranger (Arcadia)";"1987 Synergistic Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceRangerArcadia";"OCS/ECS";"";"";"";"";"space ranger arcadia english"
"NoError, EmulPriv, Examine";"704553";"S\SpaceRogue\SpaceRogue.Slave";"Space Rogue ? 1989 Mindscape";"0";"SpaceRogue";"Space Rogue";"1989 Mindscape";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceRogue";"OCS/ECS";"";"";"";"";"space rogue english"
"NoError";"360871";"S\SpaceStation\SpaceStation.Slave";"Space Station (c) 1986 Paradox Software";"0";"SpaceStation";"Space Station";"1986 Paradox Software";"413696";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpaceStation";"OCS/ECS";"";"";"";"";"space station oblivion"
"NoError, EmulTrap";"2127778";"S\SpecialForces\SpecialForces.slave";"Special Forces by Microprose (c) 1993 - 3 disks.";"0";"SpecialForces";"Special Forces";"1992 Microprose";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpecialForces";"OCS/ECS";"";"";"";"";"special forces english"
"Disk, NoError";"809712";"S\Speedball\Speedball.slave";"Speedball, 1 disk ? 1988-1989 Mirrorsoft/Imageworks.";"0";"Speedball";"Speedball";"1988-1990 Imageworks/Mirrorsoft";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Speedball";"OCS/ECS";"";"";"";"";"speedball english"
"Disk, NoError, EmulTrap";"971518";"S\Speedball2\Speedball2.Slave";"Speedball2, ?1991 Imageworks";"0";"Speedball2";"-* S P E E D B A L L  2 *-";"1991 The Bitmap Brothers";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Speedball2";"OCS/ECS";"";"";"";"";"speedball 2 brutal deluxe"
"NoError, ClearMem";"412191";"S\SpeedboatAssassins\SpeedboatAssassins.Slave";"Speedboat Assassin ? 1989 Mastertronic";"0";"SpeedboatAssassins";"Speedboat Assassin";"1989 Mastertronic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpeedboatAssassins";"OCS/ECS";"";"";"";"";"speedboat assassins assassin english"
"Disk, NoError, EmulTrap";"491042";"S\SpeedBuggy\SpeedBuggy.slave";"";"0";"SpeedBuggy";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpeedBuggy";"OCS/ECS";"";"";"";"";"speed buggy english"
"Disk, NoError, EmulTrap";"915700";"S\SpellBound\SpellBound.Slave";"Spellbound, ?1988 Psygnosis";"0";"SpellBound";"- SpellbounD -";"1988 Psygnosis";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpellBound";"OCS/ECS";"";"";"";"";"spell bound spellboun english"
"NoError, EmulTrap, ClearMem";"561708";"S\SpellboundDizzy\SpellboundDizzy.Slave";"Spellbound Dizzy ? 1992 Codemasters.";"0";"SpellboundDizzy";"Spellbound Dizzy";"1992 Codemasters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpellboundDizzy";"OCS/ECS";"";"";"";"";"spellbound dizzy english"
"NoError, EmulTrap";"359861";"S\SpellfireTheSorceror\SpellfireTheSorceror.slave";"Spellfire The Sorceror by Codemasters (c) 1991 - 1 disk.";"0";"SpellfireTheSorceror";"Spellfire the Sorcerer";"1991 Codemasters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpellfireTheSorceror";"OCS/ECS";"";"";"";"";"spellfire the sorceror sorcerer english"
"NoError, EmulPriv, Examine";"3242349";"S\SperisLegacyAGA\SperisLegacyAGA.Slave";"The Speris Legacy floppy & CD?? ? 1996 Team 17";"0";"SperisLegacyAGA";"The Speris Legacy";"1996 Binary Emotions";"2093056";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"SperisLegacy";"AGA";"";"";"";"";"speris legacy the english"
"Disk, NoError, ClearMem";"742512";"S\Spherical\Spherical.Slave";"Spherical (c) 1989 Rainbow Arts.";"0";"Spherical";"Spherical";"1989 Rainbow Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Spherical";"OCS/ECS";"";"";"";"";"spherical english"
"NoError, NoKbd, ClearMem";"2128296";"S\SphericalWorldsCD\SphericalWorldsCD.Slave";"Spherical Worlds ? 1996 Neo";"0";"SphericalWorldsCD";"Spherical Worlds";"1996 Neo";"491520";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SphericalWorlds";"CD";"";"";"";"";"spherical worlds english"
"NoError, NoKbd, ClearMem";"2151413";"S\SphericalWorlds\SphericalWorlds.Slave";"Spherical Worlds ? 1996 Neo";"0";"SphericalWorlds";"Spherical Worlds";"1996 Neo";"491520";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SphericalWorlds";"OCS/ECS";"";"";"";"";"spherical worlds english"
"NoError, EmulTrap, NoKbd";"387637";"S\SpikeInTransylvania\SpikeInTransylvania.Slave";"Spike in Transylvania (c) 1991 Codemasters - 1 disk.";"0";"SpikeInTransylvania";"Spike in Transylvania";"1991 Codemasters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpikeInTransylvania";"OCS/ECS";"";"";"";"";"spike in transylvania english"
"Disk, NoError, EmulTrap, NoKbd";"912666";"S\SpindizzyWorlds\SpindizzyWorlds.slave";"";"0";"SpindizzyWorlds";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpindizzyWorlds";"OCS/ECS";"";"";"";"";"spindizzy worlds english"
"NoError, EmulTrap";"574277";"S\SpittingImage\SpittingImage.slave";"Spitting Image by Domark (c) 1988 - 1 disk.";"0";"SpittingImage";"Spitting Image";"1988 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Spitting";"OCS/ECS";"";"";"";"Image";"spitting image english"
"NoError, EmulPriv";"719383";"S\Spot\Spot.Slave";"Spot (c) 1990 Virgin/Mastertronic - 1 disk.";"0";"Spot";"Spot";"1990 Virgin/Mastertronic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Spot";"OCS/ECS";"";"";"";"";"spot english"
"NoError, EmulTrap, EmulPriv";"1191133";"S\SpotArcadia\SpotArcadia.Slave";"Arcadia Systems version of Spot game";"0";"SpotArcadia";"Spot (Arcadia)";"1990 Virgin Mastertronic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpotArcadia";"OCS/ECS";"";"";"";"";"spot arcadia english"
"NoError, EmulTrap";"236741";"S\SpyVsSpy\SpyVsSpy.Slave";"Spy Vs Spy (c) 1989 Wicked Software/First Star";"0";"SpyVsSpy";"Spy Vs Spy";"1989 Wicked Software/First Star Software Inc";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpyVsSpy";"OCS/ECS";"";"";"";"";"spy vs english"
"NoError, EmulTrap";"284258";"S\SpyVsSpy2TheIslandCaper\SpyVsSpy2TheIslandCaper.Slave";"Spy Vs Spy 2:  The Island Caper (c) 1989 Wicked";"0";"SpyVsSpy2TheIslandCaper";"Spy Vs Spy 2: The Island Caper";"1989 Wicked Software/First Star Software Inc";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpyVsSpy2TheIslandCaper";"OCS/ECS";"";"";"";"";"spy vs 2 the island caper english"
"NoError, EmulTrap";"327942";"S\SpyVsSpy3ArcticAntics\SpyVsSpy3ArcticAntics.Slave";"Spy Vs Spy 3:  Arctic Antics (c) 1989 Wicked";"0";"SpyVsSpy3ArcticAntics";"Spy Vs Spy 3: Arctic Antics";"1989 Wicked Software/First Star Software Inc";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpyVsSpy3ArcticAntics";"OCS/ECS";"";"";"";"";"spy vs 3 arctic antics english"
"NoError, EmulTrap";"915072";"S\SpyWhoLovedMe\SpyWhoLovedMe.Slave";"The Spy Who Loved Me (c) 1990 Domark.";"0";"SpyWhoLovedMe";"The Spy Who Loved Me";"1990 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SpyWhoLovedMe";"OCS/ECS";"";"";"";"";"spy who loved me the english"
"NoError, EmulTrap, ClearMem";"920920";"S\Sqrxz\Sqrxz.Slave";"Sqrxz ? 2012 Retroguru.";"0";"Sqrxz";"Srqxz";"2012 Retroguru";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Sqrxz";"OCS/ECS";"";"";"";"";"sqrxz srqxz english"
"NoError, EmulTrap";"915003";"S\StackUp\StackUp.Slave";"Stack Up by Zeppelin Games (c) 1991 - 1 disk.";"0";"StackUp";"Stack Up";"1991 Zeppelin";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StackUp";"OCS/ECS";"";"";"";"";"stack up english"
"NoError, ClearMem";"864734";"S\Starbirds\Starbirds.Slave";"Starbirds ? 1993-96 Sam Jordan & Dario Hardmeier";"0";"Starbirds";"Starbirds";"1993-96 Sam Jordan & Dario Hardmeier";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starbirds";"OCS/ECS";"";"";"";"";"starbirds english"
"NoError, EmulPriv, Examine";"806720";"S\Starblade\Starblade.Slave";"Starbade by Silmarils (c) 1990 - 1 disk.";"0";"Starblade";"Starblade (without fast memory)";"1990 Silmarils";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starblade";"OCS/ECS";"";"";"";"";"starblade without fast memory english"
"NoError, EmulTrap";"463180";"S\Starblaze\Starblaze.slave";"Starblaze by Logotron (c) 1989 - 1 disk.";"0";"Starblaze";"Starblaze";"1989 Logotron";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starblaze";"OCS/ECS";"";"";"";"";"starblaze english"
"NoError, EmulTrapV, EmulPriv, ClearMem, Examine";"1138425";"S\StarCommand\StarCommand.Slave";"Star Command ?1989 SSI";"0";"StarCommand";"Star Command";"1989 SSI";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StarCommand";"OCS/ECS";"";"";"";"";"star command english"
"NoError, EmulPriv, ClearMem, Examine";"1472499";"S\StarControl\StarControl.Slave";"Star Control ? 1990 Accolade";"0";"StarControl";"Star Control";"1990 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StarControl";"OCS/ECS";"";"";"";"";"star control english"
"NoError, NoDivZero, Req68020, ReqAGA, EmulPriv, Examine";"14762110";"S\StarCrusaderAGA\StarCrusaderAGA.Slave";"Star Crusader ? 1996 Human Soft/Gametek.";"0";"StarCrusaderAGA";"Star Crusader";"1996 Human Soft/Gametek";"1441792";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"StarCrusader";"AGA";"";"";"";"";"star crusader english"
"NoError, EmulTrap, NoKbd";"3039332";"S\Stardust\Stardust.Slave";"Stardust ? 1993 Bloodhouse";"0";"Stardust";"Stardust";"1993 Bloodhouse";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Stardust";"OCS/ECS";"";"";"";"";"stardust english"
"NoError";"549151";"S\Starglider\Starglider.Slave";"Starglider (c) 1987 Argonaut Software/Firebird -";"0";"Starglider";"Starglider";"1987 Argonaut Software/Firebird";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starglider";"OCS/ECS";"";"";"";"";"starglider english"
"NoError";"894985";"S\Starglider2\Starglider2.Slave";"Starglider 2 ? 1988 Argonaut Software.";"0";"Starglider2";"Starglider 2";"1988 Argonaut Software";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starglider2";"OCS/ECS";"";"";"";"";"starglider 2 english"
"NoError, EmulTrap, ClearMem";"277076";"S\StarGoose\StarGoose.Slave";"Stargoose (c) 1988 Logotron - 1 disk.";"0";"StarGoose";"Stargoose";"1988 Logotron";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StarGoose";"OCS/ECS";"";"";"";"";"star goose english"
"NoError, EmulTrap";"503477";"S\Starians\Starians.slave";"Starians by Amigo! (c) 1991 - 1 disk.";"0";"Starians";"Starians";"1991 Amigo!";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starians";"OCS/ECS";"";"";"";"";"starians english"
"NoError, EmulPriv, ClearMem, Examine";"2225011";"S\Starlord\Starlord.Slave";"Starlord ?1994 MicroProse";"0";"Starlord";"Starlord";"1994 MicroProse";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starlord";"OCS/ECS";"";"";"";"";"starlord english"
"NoError, EmulPriv, Examine";"1829777";"S\StarRay2Disk\StarRay2Disk.slave";"StarRay ? 1988 Logotron.";"0";"StarRay2Disk";"StarRay";"1988 Logotron";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StarRay";"OCS/ECS";"";"";"";"2Disk";"star ray english"
"NoError, EmulPriv, Examine";"928657";"S\StarRay1Disk\StarRay1Disk.slave";"StarRay ? 1988 Logotron.";"0";"StarRay1Disk";"StarRay";"1988 Logotron";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StarRay";"OCS/ECS";"";"";"";"1Disk";"star ray english"
"NoError, ClearMem";"900505";"S\StarTrash\StarTrash.slave";"Star Trash by Rainbow Arts (c) 1989 - 1 disk.";"0";"StarTrash";"Star Trash";"1989 Rainbow Arts";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StarTrash";"OCS/ECS";"";"";"";"";"star trash english"
"NoError, Req68020, EmulPriv, Examine";"9099088";"S\StarTrek25thAnnivAGA\StarTrek25thAnnivAGA.Slave";"Star Trek 25th Anniversary ? 1994 Interplay";"0";"StarTrek25thAnnivAGA";"Star Trek: 25th Anniversary";"1992 Interplay";"1179648";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload_aga\combined";"StarTrek25thAnniv";"AGA";"";"";"";"";"star trek 25 th anniv anniversary english"
"NoError, NoKbd";"1816499";"S\StarushImage\StarushImage.Slave";"Starush ? 1991-92 Ubi-Soft.";"0";"StarushImage";"Starush";"1991-92 Ubi Soft ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Starush";"OCS/ECS";"";"";"";"Image";"starush english"
"NoError, EmulPriv, Examine";"296548";"S\StarWars\StarWars.slave";"Star Wars ? 1988 Domark.";"0";"StarWars";"Star Wars";"1988 Domark";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StarWars";"OCS/ECS";"";"";"";"";"star wars english"
"NoError, EmulTrap, ClearMem";"497999";"S\Steel\Steel.Slave";"Steel by Hewson (c) 1989 - 1 disk.";"0";"Steel";"Steel";"1989 Hewson";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Steel";"OCS/ECS";"";"";"";"";"steel english"
"Disk, NoError, EmulTrap";"1860753";"S\SteelEmpire\SteelEmpire.Slave";"";"0";"SteelEmpire";"";"";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"SteelEmpire";"OCS/ECS";"";"";"";"";"steel empire english"
"NoError, EmulTrap";"348728";"S\StegTheSlug\StegTheSlug.slave";"Steg the Slug by Code Masters (c) 1992 - 1 disk.";"0";"StegTheSlug";"Steg the Slug";"1992 Code Masters";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StegTheSlug";"OCS/ECS";"";"";"";"";"steg the slug english"
"NoError, EmulTrap";"693671";"S\Steigar\Steigar.Slave";"Steigar (c) 1989 Screen 7";"0";"Steigar";"Steigar";"1989 Screen 7";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Steigar";"OCS/ECS";"";"";"";"";"steigar english"
"NoError, EmulPriv, ClearMem, Examine";"2069240";"S\Stellar7\Stellar7.Slave";"Stellar 7 ? 1991 Dynamix";"0";"Stellar7";"Stellar 7";"1991 Dynamix";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Stellar7";"OCS/ECS";"";"";"";"";"stellar 7 english"
"NoError, EmulPriv";"915703";"S\StirCrazyFeaturingBobo\StirCrazyFeaturingBobo.Slave";"Bobo ? 1988 Infogrames.";"0";"StirCrazyFeaturingBobo";"Bobo";"1988 Infogrames";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StirCrazyFeaturingBobo";"OCS/ECS";"";"";"";"";"stir crazy featuring bobo english"
"Disk, NoError, EmulTrap";"834592";"S\StoneAge\StoneAge.slave";"Stone Age ? 1992 Eclipse";"0";"StoneAge";"Stone Age";"1992 Eclipse";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StoneAge";"OCS/ECS";"";"";"";"";"stone age english"
"Disk, NoError, EmulTrap";"1825593";"S\Stormball\Stormball.Slave";"";"0";"Stormball";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Stormball";"OCS/ECS";"";"";"";"";"stormball english"
"NoError, EmulTrap, ClearMem";"914418";"S\Stormlord\Stormlord.Slave";"Stromlord ? 1991 Hewson/Spotlight.";"0";"Stormlord";"Stormlord";"1991 Spotlight/Hewson ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Stormlord";"OCS/ECS";"";"";"";"";"stormlord english"
"NoError, EmulTrap, ClearMem";"915122";"S\StormlordPrerelease\StormlordPrerelease.Slave";"Stromlord ? 1991 Hewson/Spotlight.";"0";"StormlordPrerelease";"Stormlord";"1991 Spotlight/Hewson ";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StormlordPrerelease";"OCS/ECS";"";"";"";"";"stormlord prerelease english"
"NoError, EmulPriv, Examine";"811644";"S\StormMaster\StormMaster.Slave";"Storm Master by Silmarils (c) 1991 - 1 disk.";"0";"StormMaster";"Storm Master (without fast memory)";"1991 Silmarils";"589824";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StormMaster";"OCS/ECS";"";"";"";"";"storm master without fast memory english"
"Disk, NoError, EmulTrap";"931823";"S\Stratego\Stratego.Slave";"";"0";"Stratego";"Stratego";"1991 Accolade";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Stratego";"OCS/ECS";"";"";"";"";"stratego english"
"NoError, EmulTrap";"681573";"S\StreetFighter\StreetFighter.slave";"Street Fighter ? 1988 Capcom.";"0";"StreetFighter";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StreetFighter";"OCS/ECS";"";"";"";"";"street fighter english"
"Disk, NoError, EmulTrap";"2591253";"S\StreetFighter2\StreetFighter2.Slave";"StreetFighter 2, ?1992 US Gold";"0";"StreetFighter2";"-+ StreetFighter 2 +-";"1992 US Gold Ltd";"1048576";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StreetFighter2";"OCS/ECS";"";"";"";"";"street fighter 2 english"
"NoError, EmulTrap";"947473";"S\StreetGang\StreetGang.slave";"Street Gang by Time Warp/Rainbow Arts (c) 1988 - 1 disk.";"0";"StreetGang";"Street Gang";"1998 Softgold";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StreetGang";"OCS/ECS";"";"";"";"";"street gang english"
"NoError, EmulPriv, Examine";"1203332";"S\StreetRod\StreetRod.slave";"Street Rod ? 1990 California Dreams.";"0";"StreetRod";"Street Rod";"1990 California Dreams";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StreetRod";"OCS/ECS";"";"";"";"";"street rod english"
"NoError, EmulPriv, Examine";"1554710";"S\StreetRod2\StreetRod2.Slave";"Street Rod 2 ? 1991 California Dreams.";"0";"StreetRod2";"Street Rod 2";"1991 California Dreams";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StreetRod2";"OCS/ECS";"";"";"";"";"street rod 2 english"
"NoError, EmulPriv, Examine";"916682";"S\StreetSportsBasketball\StreetSportsBasketball.Slave";"Street Sports Basketball ? 1988 Epyx.";"0";"StreetSportsBasketball";"Street Sports Basketball";"1988 Epyx";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"StreetSportsBasketball";"OCS/ECS";"";"";"";"";"street sports basketball english"
"NoError, EmulTrap";"971717";"S\Strider\Strider.Slave";"Strider (c) 1989 Tiertex/US Gold - 1 disk.";"0";"Strider";"Strider";"1989 Tiertex/US Gold";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Strider";"OCS/ECS";"";"";"";"";"strider english"
